vehicle_id,route_id,stop_id,timestamp,ticket_count,capacity,day_type,time_slot,occupancy_percentage,crowd_level
BUS_NGP_149,R_NGP_03,Sitabuldi,20-01-2026 19:48,38,40,Weekday,Evening,95,HIGH
BUS_NGP_008,R_NGP_21,Wadi,16-01-2026 06:52,12,40,Weekday,Morning,30,LOW
BUS_NGP_023,R_NGP_03,Sitabuldi,06-01-2026 08:53,31,50,Weekday,Morning,62,MEDIUM
BUS_NGP_057,R_NGP_03,Ajni,06-01-2026 15:48,12,50,Weekday,Afternoon,24,LOW
BUS_NGP_004,R_NGP_12,Reshimbagh,29-01-2026 22:26,23,45,Weekday,Night,51,MEDIUM
BUS_NGP_071,R_NGP_08,Ajni,07-01-2026 13:04,41,60,Weekday,Afternoon,68,MEDIUM
BUS_NGP_135,R_NGP_21,Wardha_Road,10-01-2026 13:17,9,45,Weekend,Afternoon,20,LOW
BUS_NGP_170,R_NGP_03,Sadar,03-01-2026 13:27,6,60,Weekend,Afternoon,10,LOW
BUS_NGP_118,R_NGP_08,Ajni,30-01-2026 11:29,14,60,Weekday,Afternoon,23,LOW
BUS_NGP_114,R_NGP_08,Ajni,16-01-2026 14:39,17,40,Weekday,Afternoon,42,MEDIUM
BUS_NGP_027,R_NGP_12,Manewada,15-01-2026 01:15,4,60,Weekday,Night,6,LOW
BUS_NGP_197,R_NGP_08,Ajni,10-01-2026 00:10,3,45,Weekend,Night,6,LOW
BUS_NGP_177,R_NGP_08,Dharampeth,23-01-2026 02:56,14,45,Weekday,Night,31,LOW
BUS_NGP_137,R_NGP_08,Law_College_Sq,14-01-2026 19:25,24,40,Weekday,Evening,60,MEDIUM
BUS_NGP_116,R_NGP_03,Zero_Mile,16-01-2026 02:55,35,50,Weekday,Night,70,MEDIUM
BUS_NGP_070,R_NGP_08,Medical_Square,13-01-2026 06:40,35,60,Weekday,Morning,58,MEDIUM
BUS_NGP_193,R_NGP_03,Ajni,02-01-2026 23:21,4,45,Weekday,Night,8,LOW
BUS_NGP_111,R_NGP_03,Sadar,28-01-2026 13:50,4,55,Weekday,Afternoon,7,LOW
BUS_NGP_050,R_NGP_12,Sakkardara,20-01-2026 13:15,10,60,Weekday,Afternoon,16,LOW
BUS_NGP_192,R_NGP_12,Sitabuldi,02-01-2026 15:06,28,55,Weekday,Afternoon,50,MEDIUM
BUS_NGP_129,R_NGP_21,Wadi,19-01-2026 20:04,31,55,Weekday,Evening,56,MEDIUM
BUS_NGP_187,R_NGP_08,Ajni,10-01-2026 23:07,11,45,Weekend,Night,24,LOW
BUS_NGP_116,R_NGP_08,Dharampeth,14-01-2026 12:11,23,60,Weekday,Afternoon,38,LOW
BUS_NGP_012,R_NGP_03,Zero_Mile,04-01-2026 08:49,39,40,Weekend,Morning,97,HIGH
BUS_NGP_020,R_NGP_03,Sitabuldi,24-01-2026 15:45,22,50,Weekend,Afternoon,44,MEDIUM
BUS_NGP_017,R_NGP_21,MIHAN,13-01-2026 19:20,33,50,Weekday,Evening,66,MEDIUM
BUS_NGP_149,R_NGP_21,Wadi,30-01-2026 20:57,16,45,Weekday,Evening,35,LOW
BUS_NGP_051,R_NGP_21,Wadi,12-01-2026 09:08,41,50,Weekday,Morning,82,HIGH
BUS_NGP_024,R_NGP_12,Reshimbagh,16-01-2026 06:23,27,40,Weekday,Morning,67,MEDIUM
BUS_NGP_054,R_NGP_03,Ajni,01-01-2026 14:01,28,40,Weekday,Afternoon,70,MEDIUM
BUS_NGP_174,R_NGP_21,Wadi,28-01-2026 06:04,22,60,Weekday,Morning,36,LOW
BUS_NGP_136,R_NGP_03,Sitabuldi,06-01-2026 14:34,7,45,Weekday,Afternoon,15,LOW
BUS_NGP_050,R_NGP_21,MIHAN,20-01-2026 08:48,47,55,Weekday,Morning,85,HIGH
BUS_NGP_016,R_NGP_03,Zero_Mile,26-01-2026 14:07,17,40,Weekday,Afternoon,42,MEDIUM
